gid,geom,pop,volcano_id,source,buffer_km
30059110,POINT (125.46249877815 3.654166988049994),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059109,POINT (125.45416544485002 3.654166988049994),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059108,POINT (125.43749877825002 3.654166988049994),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046975,POINT (125.42916544495 3.7000003211999943),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048909,POINT (125.40416544505001 3.6958336545499932),44,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048908,POINT (125.39583211175002 3.6958336545499932),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048912,POINT (125.49583211135001 3.6958336545499932),4,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048911,POINT (125.48749877805002 3.6958336545499932),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048910,POINT (125.47916544475005 3.6958336545499932),5,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050944,POINT (125.39583211175002 3.687500321249992),269,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050945,POINT (125.40416544505001 3.687500321249992),1683,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050946,POINT (125.49583211135001 3.687500321249992),25,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050947,POINT (125.50416544465003 3.687500321249992),317,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050948,POINT (125.51249877795001 3.687500321249992),423,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050949,POINT (125.52083211124999 3.687500321249992),415,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050950,POINT (125.52916544455 3.687500321249992),1079,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050951,POINT (125.53749877785003 3.687500321249992),1002,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30050952,POINT (125.54583211115002 3.687500321249992),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048917,POINT (125.53749877785003 3.6958336545499932),39,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048915,POINT (125.52083211124999 3.6958336545499932),44,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048916,POINT (125.52916544455 3.6958336545499932),480,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048913,POINT (125.50416544465003 3.6958336545499932),10,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30048914,POINT (125.51249877795001 3.6958336545499932),222,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046827,POINT (125.50416544465003 3.7041669878499945),28,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046828,POINT (125.51249877795001 3.7041669878499945),261,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046829,POINT (125.52083211124999 3.7041669878499945),508,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046830,POINT (125.52916544455 3.7041669878499945),79,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044854,POINT (125.52083211124999 3.712500321149996),142,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044853,POINT (125.51249877795001 3.712500321149996),412,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044852,POINT (125.50416544465003 3.712500321149996),288,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044847,POINT (125.41249877835004 3.712500321149996),379,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044846,POINT (125.40416544505001 3.712500321149996),561,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044850,POINT (125.48749877805002 3.712500321149996),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044851,POINT (125.49583211135001 3.712500321149996),270,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30044849,POINT (125.47916544475005 3.712500321149996),6,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046824,POINT (125.47083211145004 3.7041669878499945),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046825,POINT (125.48749877805002 3.7041669878499945),33,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046826,POINT (125.49583211135001 3.7041669878499945),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046822,POINT (125.45416544485002 3.7041669878499945),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046823,POINT (125.46249877815002 3.7041669878499945),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046821,POINT (125.41249877835004 3.7041669878499945),15,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30046820,POINT (125.40416544505001 3.7041669878499945),6,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040778,POINT (125.48749877805002 3.7291669877499984),364,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040779,POINT (125.49583211135001 3.729166987749998),84,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040776,POINT (125.47083211145004 3.729166987749998),146,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040777,POINT (125.47916544475005 3.729166987749998),171,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040774,POINT (125.45416544485002 3.7291669877499984),274,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040775,POINT (125.46249877815002 3.729166987749998),353,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040772,POINT (125.43749877825002 3.729166987749998),466,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
